HouseDescription,Address,Cost
For Sale Single Attached House 1 Bedroom 1 Bathroom 28 sqm. ,"Tanauan, Batangas",₱ 1.52 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 50 sqm. ,"Candelaria, Quezon",₱ 1.90 million
For Sale Single Attached House 2 Bedrooms 2 Bathrooms 80 sqm. ,"Trece Martires, Cavite",₱ 3.58 million
For Sale Townhouse 2 Bedrooms 2 Bathrooms 71 sqm. ,"Biñan, Laguna",₱ 4.09 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 44 sqm. ,"Tanauan, Batangas",₱ 1.81 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 50 sqm. ,"Cabanatuan, Nueva Ecija",₱ 1.89 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 50 sqm. ,"General Trias, Cavite",₱ 2.80 million
For Sale Others 2 Bedrooms 2 Bathrooms 88 sqm. ,"Santa Maria, Bulacan",₱ 4.67 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 36 sqm. ,"San Ildefonso, Bulacan",₱ 2.40 million
For Sale Others 1 Bathroom 28 sqm. ,"Santa Ignacia, Tarlac",₱ 1.22 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 55 sqm. ,"Marilao, Bulacan",₱ 2.00 million
For Sale Single Detached House 2 Bedrooms 1 Bathroom 36 sqm. ,"Trece Martires, Cavite",₱ 2.18 million
For Sale Duplex / Twin House 3 Bedrooms 1 Bathroom 60 sqm. ,"General Trias, Cavite",₱ 3.20 million
For Sale Duplex / Twin House 4 Bedrooms 2 Bathrooms 56 sqm. ,"Urdaneta, Pangasinan",₱ 3.34 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 70 sqm. ,"Cabanatuan, Nueva Ecija",₱ 1.72 million
For Sale Single Detached House 4 Bedrooms 3 Bathrooms 97 sqm. ,"Bacoor, Cavite",₱ 6.00 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 60 sqm. ,"General Trias, Cavite",₱ 2.69 million
For Sale Single Attached House 3 Bedrooms 1 Bathroom 67 sqm. ,"San Pedro, Laguna",₱ 4.51 million
For Sale Single Attached House 2 Bedrooms 1 Bathroom 80 sqm. ,"Puerto Princesa, Palawan",₱ 6.00 million
For Sale Townhouse 4 Bedrooms 3 Bathrooms 116 sqm. ,"Quezon City / QC, Metro Manila",₱ 11.0 million
For Sale Single Detached House 3 Bedrooms 3 Bathrooms 200 sqm. ,"San Fernando, Pampanga",₱ 9.50 million
For Sale Single Detached House 5 Bedrooms 6 Bathrooms 250 sqm. ,"Angeles, Pampanga",₱ 18.5 million
For Sale Single Detached House 6 Bedrooms 4 Bathrooms 320 sqm. ,"Angeles, Pampanga",₱ 12.5 million
For Sale Single Detached House 3 Bedrooms 2 Bathrooms 123 sqm. ,"San Fernando, Pampanga",₱ 4.50 million
For Sale Single Detached House 5 Bedrooms 3 Bathrooms 220 sqm. ,"Angeles, Pampanga",₱ 10.5 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 122 sqm. ,"Cebu City, Cebu",₱ 5.70 million
For Sale Townhouse 3 Bedrooms 2 Bathrooms 84 sqm. ,"Bacoor, Cavite",₱ 5.00 million
For Sale Single Detached House 1 Bathroom 30 sqm. ,"Cabuyao, Laguna",₱ 1.20 million
For Sale Townhouse 67 sqm. ,"Bacoor, Cavite",₱ 2.69 million
For Sale Single Attached House 3 Bedrooms 2 Bathrooms 180 sqm. ,"Angat, Bulacan",₱ 5.00 million
For Sale Townhouse 2 Bedrooms 1 Bathroom 40 sqm. ,"Baliuag, Bulacan",₱ 2.50 million
For Sale Single Detached House 5 Bedrooms 4 Bathrooms 350 sqm. ,"Marikina, Metro Manila",₱ 20.0 million
